match_id,date,team_a,team_b,event,tournament,match_type,status,stream_url,source
ps_1508637,2026-06-04 12:00:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504739,2026-06-04 14:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508640,2026-06-04 14:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508639,2026-06-04 14:30:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504740,2026-06-04 17:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508641,2026-06-04 17:00:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1508642,2026-06-04 17:00:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
ps_1504753,2026-06-05 08:00:00,TBD,TBD,European Pro League,Series 7 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1504741,2026-06-05 08:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504754,2026-06-05 10:30:00,TBD,TBD,European Pro League,Series 7 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1504742,2026-06-05 11:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1508644,2026-06-05 12:00:00,TBD,TBD,IEM,Cologne Major 2026,best_of,not_started,https://www.twitch.tv/ESLCSb,pandascore
